filename,intent,confidence,reason
transcript_chat-001ad0ac-8807-471a-a3ce-b2b1045104f8.txt,booking,0.9,Caller wants to book a taxi cab.
transcript_chat-0022d84b-a0d5-4bd4-aff8-44fe300e458c.txt,booking,0.9,Caller wants to book a trip.
transcript_chat-003c82cc-bf53-4c10-9ba6-f02e748c2035.txt,booking,0.9,Caller asked for a taxi
transcript_chat-00647e1a-3b1f-4c8e-a49d-126eafd18e3a.txt,cancellation,1.0,Caller explicitly requested to cancel their trips.
transcript_chat-006951d1-6788-42ef-967e-9ad32a0f0b33.txt,booking,0.5,Caller initiated the call but didn't express their intent before the call ended
transcript_chat-00d2f626-e0c3-4f92-9abe-d9028ba5839a.txt,booking,1.0,Caller requests a taxi to be sent to their location.
transcript_chat-00f77959-10fb-4000-941f-eca59a721a73.txt,booking,0.9,Caller wants to schedule a new pickup.
transcript_chat-013a9565-d588-40dd-9366-6bba671135d9.txt,booking,0.8,Caller initially wanted to cancel trips but ultimately asked to book a new trip.
transcript_chat-01ceb0a8-2709-4a5e-a45e-fd4a48b4aa7a.txt,booking,1.0,Caller requested a cab as soon as possible and provided pickup and dropoff addresses.
transcript_chat-01ec37fa-7c84-4611-b64d-6dd244680cbd.txt,transfer,0.8,Caller asked to be connected to a representative after inquiring about their driver's status
transcript_chat-0240b51f-fa34-4168-a0bf-b0d44d2d5d9e.txt,booking,0.9,Caller wants to schedule a taxi ride for tomorrow morning.
transcript_chat-02a66586-feb2-4b08-b41f-d97535095ba4.txt,modification,0.8,Caller inquires about their existing ride details.
transcript_chat-0335d0d9-341d-4eb0-a015-93a95e0619f7.txt,booking,0.9,Caller is requesting a pickup and dropoff for Miss Lentoll.
transcript_chat-0340b43c-d78a-496d-afbb-4514716a8452.txt,transfer,0.0,No clear request from the caller
transcript_chat-03a3e4b7-df68-4011-aac2-270b90d1246e.txt,booking,0.9,Caller initially requests a taxi
transcript_chat-03c2719e-57e2-4718-819f-856b4499b59e.txt,modification,0.8,Caller inquires about return trip and has existing trips.
transcript_chat-03ca378f-1c17-482e-88ac-33e7ec1f04f8.txt,booking,0.8,Caller is waiting for a ride and agent offers help with booking a ride
transcript_chat-044d6974-e125-4e89-9ea2-0e46baddfde0.txt,booking,1.0,Caller wants to book a ride.
transcript_chat-04d0aaf0-235f-4c91-a968-16a2815b6458.txt,booking,0.9,Caller is inquiring about and setting up a ride.
transcript_chat-054f25fa-c534-4caa-b064-15433b31719d.txt,transfer,1.0,Caller explicitly asks for customer service.
transcript_chat-05cd2f17-682c-4145-9702-7b54a5e7c630.txt,transfer,1.0,Caller explicitly asks to talk to somebody.
transcript_chat-05e2dad9-ca8b-4210-a8c6-4a55ddc80744.txt,booking,0.9,Caller initially requests a taxi and provides pickup address.
transcript_chat-05e4ec57-a337-4805-a518-7595eae3567f.txt,modification,0.9,Caller wants to change the cab company for an existing appointment
transcript_chat-061490b5-cf41-45c9-8e5c-e05cabc4c8ed.txt,modification,0.6,"Caller is inquiring about a trip, implying an existing booking."
transcript_chat-0641a19f-057f-4d28-a853-56f80c845fdf.txt,transfer,1.0,Caller asks to be connected to a person.
transcript_chat-06b87173-d7fd-4006-a4ff-139f0c341ea0.txt,booking,0.9,Caller wants to book a return ride home
transcript_chat-06e0fbde-efbc-4503-bffd-5892572ccdb7.txt,booking,1.0,Caller requests a taxi to take her from one location to another.
transcript_chat-07271651-8786-4519-b90b-ad7238a7f63d.txt,transfer,0.8,Caller is unclear about their request and agent offers to connect them to a person.
transcript_chat-07479bf4-22f3-4eae-89c6-b44ff39090c2.txt,transfer,0.0,No caller input was captured.
transcript_chat-077db73a-ab0d-4ed1-9acb-d160da2dd426.txt,booking,1.0,Caller wants to book a wheelchair accessible cab to Potomac Rehab
transcript_chat-07da8eac-6d9e-473d-94ce-7c1ef4a338a1.txt,transfer,0.0,No clear request from the caller.
transcript_chat-0856084b-d041-4c6e-8463-8a0595913a6c.txt,booking,0.9,Caller wants to book a ride from a specific address.
transcript_chat-08817823-530f-414b-a8e4-b8fd6c98d914.txt,booking,1.0,Caller requested a cab ride and provided pickup and dropoff addresses.
transcript_chat-08e9ada6-cfa9-4ba7-ac3d-0ceef767f4dd.txt,transfer,1.0,Caller explicitly asks to speak to an agent or representative multiple times.
transcript_chat-0962714b-e85f-446f-9e40-b8258c2e0402.txt,modification,0.8,Caller wants to cancel an existing trip and book a new one.
transcript_chat-0989c9e4-c7ea-42e1-a2f0-1649f7bf2ef6.txt,modification,0.8,Caller wants to know the status and update of their existing ride.
transcript_chat-09d9d9a0-fbdf-4744-9b36-81016b035aee.txt,booking,0.9,Caller wants a ride from the grocery store to home.
transcript_chat-09ec3e0a-69a3-4135-a3ff-7173c64b582c.txt,booking,0.9,Caller is discussing payment options for a ride.
transcript_chat-09f35e65-e09c-41f2-9816-c7f7e29bbd1c.txt,modification,0.8,Caller wants to confirm an existing appointment.
transcript_chat-0b49014a-b3a0-480c-a637-6a91b431e1fa.txt,modification,0.8,Caller inquires about the status of their existing ride.
transcript_chat-0c016f3a-7c86-40af-8e7f-781296a77498.txt,modification,0.8,"Caller's response is unclear, but context implies a potential issue with the scheduled pickup."
transcript_chat-0c47e303-63ea-4f97-a34a-2ccbbf8d93e5.txt,booking,0.9,Caller wants to book a taxi ride.
transcript_chat-0c576b73-bdc6-4ced-9bfe-75180b2e94e4.txt,cancellation,0.9,Caller explicitly stated they wanted to cancel their rides for today.
transcript_chat-0c8771a4-fd91-42c7-9ee9-f4b25f9cf5bd.txt,transfer,0.8,Caller asks to be connected to a specific person or department.
transcript_chat-0ca5fb47-7feb-4dc8-ac54-d4130d42d34a.txt,booking,1.0,Caller wants to book a cab ride.
transcript_chat-0ce923f7-7a92-4ec0-a499-e9f1f1aef250.txt,booking,1.0,Caller requested a ride and provided pickup and dropoff addresses.
transcript_chat-0d0ebe5a-989d-444c-8e70-c0dc2f537443.txt,booking,0.9,Caller wants to book a new ride home
transcript_chat-0d4cee1e-e291-4ec6-ba76-6f9b3e917c37.txt,booking,1.0,Caller explicitly states they want to book a ride.
transcript_chat-0d52f1d9-3b80-4f1b-9fe4-753a85a45818.txt,booking,0.8,"Caller initially wants to set up an account pickup, which implies a new ride booking."
transcript_chat-0d85a80f-db4d-4025-a66f-58e0d7ed855a.txt,booking,0.9,Caller initially wants to book a taxi plus ride.
transcript_chat-0d995382-9e86-46dc-9626-bd840f6f22d1.txt,booking,0.9,Caller initially wants to book a trip
transcript_chat-0e005c17-bd4e-406e-937f-0a3533c78ba7.txt,modification,0.8,Caller is inquiring about a delayed pickup for an existing ride.
transcript_chat-0e12c277-666e-463b-a365-0210455d2f4f.txt,booking,1.0,Caller requests a cab and provides pickup and dropoff addresses.
transcript_chat-0e348cbb-68e4-4365-9e67-35817a711e72.txt,booking,1.0,Caller requested a pickup and provided all necessary details to book a ride.
transcript_chat-0e7936ce-b0ef-44b8-ab28-2b518e41ad31.txt,transfer,1.0,Caller explicitly asks to speak with someone.
transcript_chat-0e998aac-db85-4a15-9948-0c3c7743e4aa.txt,modification,0.8,Caller wants to update payment method for existing ride service.
transcript_chat-0ed1a715-72f5-4e3a-b4a5-36c9b977cf32.txt,booking,0.9,Caller wants to book a taxi ride
transcript_chat-0ee53489-030d-4748-a576-6c6272e085fa.txt,booking,1.0,Caller is making a new ride reservation.
transcript_chat-0f9b98d4-13d4-41ba-aa7f-26d0ebadae48.txt,booking,1.0,Caller requested a ride from one location to another.
transcript_chat-0fc5babe-361f-4153-8312-31ae67a8fb65.txt,transfer,0.8,Caller asks to talk to somebody after initial issue resolution attempt
transcript_chat-100a9b1e-ec59-4cdb-9d59-ceaac70985c2.txt,cancellation,0.8,Caller explicitly says 'Cancel the trip'.
transcript_chat-106dc05a-8639-4d99-a7ec-8de123b8a96b.txt,cancellation,0.8,Caller initially requests to cancel a trip.
transcript_chat-108384ba-1784-4de5-8c53-d04683d3de37.txt,transfer,1.0,Caller explicitly asks to talk to customer service.
transcript_chat-1083edc5-6e4d-442a-8cec-848434a583a4.txt,booking,1.0,Caller explicitly states they are calling to book a trip.
transcript_chat-110ed696-25c0-4bb8-9575-ace6c75c6a23.txt,transfer,1.0,Caller explicitly asked to speak with a manager.
transcript_chat-1254ebf7-0101-4a80-9f8c-64a6af4368d4.txt,cancellation,1.0,Caller explicitly requests to cancel their 9:45 am ride.
transcript_chat-128d449b-ec9c-4f64-826a-877c75ebb05b.txt,modification,0.8,Caller inquires about the status of an existing trip.
transcript_chat-131aa7a1-dd7f-42be-b0de-6df502fc91c6.txt,modification,0.8,Caller wants to adjust a trip due to being too far from the location.
transcript_chat-1334fb87-0858-4333-9457-6d68d2325fe2.txt,transfer,1.0,Caller repeatedly asks for customer service.
transcript_chat-14657c1b-bac7-4bcd-8392-24f11a33c0e9.txt,transfer,0.8,Caller asks to press 0 and agent offers to connect with a live representative
transcript_chat-146d66bf-25cf-4eca-968b-640a09f632cb.txt,transfer,0.9,Caller asks to be transferred to a representative.
transcript_chat-1475b01d-8708-4b32-bae2-0312ed06e73b.txt,booking,0.9,Caller wants to book a new trip
transcript_chat-1500e251-14fd-402b-b8ce-60f03eec12bf.txt,booking,1.0,Caller requested a cab and provided pickup and dropoff addresses.
transcript_chat-151b216d-f5fe-4559-a09f-52983cf1f679.txt,booking,0.9,Caller wants to schedule a ride
transcript_chat-151ef0ae-a991-44d6-8f32-2c3099ec6152.txt,transfer,1.0,Caller explicitly asks for customer service.
transcript_chat-1596e277-50fc-47e0-b76c-c78f25bf7aca.txt,modification,0.8,Caller wants to check trip address and details.
transcript_chat-15e66bf4-0cb1-4f12-8ae9-abe42d63a1df.txt,booking,0.9,Caller wants to book rides for two different days
transcript_chat-160e134d-114d-4780-9f49-aba5b273d39a.txt,booking,0.9,Caller wants to book a taxi ride.
transcript_chat-1648fa86-e2ad-4a45-ae1a-ae5d3c0ecaf8.txt,transfer,0.0,No clear request from the caller
transcript_chat-16d791b9-78f1-472c-a0a2-543003a64582.txt,cancellation,0.8,Caller asks to cancel at the end of the call.
transcript_chat-1704290d-faef-4a87-a25c-bfb11dee2e91.txt,modification,0.6,Caller seems to be already in a ride and needs assistance.
transcript_chat-172cedff-0b35-49b5-8521-70b8a65c89f8.txt,modification,0.8,Caller wants to check on the trip.
transcript_chat-17578953-97af-4c53-88fe-7bf6019536cc.txt,modification,0.9,Caller wants to change their existing trip to a round trip.
transcript_chat-17826277-a285-46de-9c1a-1c4440077c15.txt,modification,0.5,Caller was being contacted about an existing ride.
transcript_chat-17922ac2-65b9-4a32-838e-174a8a77c7be.txt,transfer,0.0,No clear request from the caller
transcript_chat-179c3762-26d6-415c-94a9-2eccbf7b3278.txt,modification,0.8,Caller wants to confirm and modify a ride.
transcript_chat-179f2c7f-8bf3-4da8-8619-1f5bf28c34dc.txt,booking,0.9,Caller wants to book a cab ride.
transcript_chat-17e1e555-8e70-4194-a3c7-f4a5f8bb5aed.txt,transfer,0.9,Caller explicitly asks to speak to another agent.
transcript_chat-17e83525-c116-4009-bb08-faaf16edff2a.txt,transfer,0.9,Caller explicitly asks to be connected to a representative.
transcript_chat-182efee8-cc1d-4845-8fc9-2e21e32b1598.txt,transfer,0.9,Caller requests to be connected to a live agent.
transcript_chat-19124293-2706-484f-9815-c3f9adc6ad0e.txt,modification,0.8,Caller wants to confirm and update payment for an existing ride.
transcript_chat-19761d9b-1ac8-4531-afa9-9ebec4a53b3a.txt,modification,0.9,Caller initially requested a ride and then wanted to change the pickup time.
transcript_chat-19b05736-5c69-4702-ad09-df6378e8d5c0.txt,transfer,0.9,Caller explicitly asks to speak to a customer service representative.
transcript_chat-19b369f5-690e-4bff-9ff7-02fc0bbc1cfd.txt,transfer,1.0,Caller explicitly asked to be transferred to customer service.
transcript_chat-19c10317-f978-4ec9-8888-ecfcd7260150.txt,booking,1.0,Caller requested a cab and provided pickup and dropoff addresses.
transcript_chat-1a3263de-0292-4eec-93a8-676fe7d771bb.txt,booking,1.0,Caller requests a pickup and provides payment details.
transcript_chat-1a99c0dd-61bd-4f28-acdc-e4d31020dd88.txt,booking,0.9,Caller wants to schedule a ride
transcript_chat-1a9a68d8-fe4f-4221-b754-2690ae2d3dd8.txt,transfer,0.8,Caller asks for a representative.
transcript_chat-1ac5e4e1-33be-45a3-af8b-8a5127cd4b8c.txt,transfer,0.8,Caller wants to speak to someone after initial issue with lost telephone was not resolved
transcript_chat-1b6a34ac-303b-4a8f-b9c8-6c67c7482b4c.txt,transfer,0.7,"Caller seems confused and asks to call back for an update, then agrees to be connected to a representative."
transcript_chat-1bda1765-ccb5-43d1-be30-e9db07ffa009.txt,booking,1.0,Caller wants to make a new appointment for pickup.
transcript_chat-1bfbd19f-cf22-454b-92c7-8893e47f7930.txt,transfer,1.0,Caller explicitly requests a live operator.
transcript_chat-1c205650-87f8-41c3-897f-f31a3bea21ac.txt,booking,0.9,Caller wants to book a cab ride.
transcript_chat-1c2a847d-ef39-4614-bda4-6f4ab3b0a046.txt,modification,0.9,Caller wants to change the pickup address for an existing trip.
transcript_chat-1c595ebb-6ccb-4ff5-bbf3-1882bd3c2e91.txt,booking,0.9,Caller wants to book a taxi ride.
transcript_chat-1c95988e-7c81-4ccf-bac5-da64b0ac759e.txt,booking,0.9,Caller wants to book a cab ride.
transcript_chat-1c99ea8e-6100-444f-80e2-26c5163b6e3f.txt,cancellation,0.9,Caller explicitly asked to cancel their existing trip.
transcript_chat-1ca17f11-4bed-4774-bce5-bee93166a79c.txt,booking,0.8,"Caller is providing directions, implying they are discussing a ride."
transcript_chat-1cc43d55-9546-4e73-9eec-a88acccbffc2.txt,transfer,0.8,Caller wants to be connected to a human agent due to an issue with their ride.
transcript_chat-1ce67f39-2526-4dbd-8281-040f179febcd.txt,modification,0.8,Caller wants to change their existing trip to a taxi as soon as possible
transcript_chat-1ced8e75-f754-4947-bee6-f2264beed996.txt,transfer,0.8,"Caller asks for Mary, indicating a desire to speak with a specific person."
transcript_chat-1d9e6371-454a-4435-8157-1fd84065bcd6.txt,modification,0.7,Caller inquires about and attempts to clarify existing trip details.
transcript_chat-1ea9820c-16af-49c6-b618-645639a54d50.txt,booking,1.0,Caller requested a taxi for tomorrow morning
transcript_chat-1eaab093-dc8d-4ae1-a17e-3f9142b81965.txt,modification,0.8,Caller wants to confirm return trip.
transcript_chat-1eb7e2b7-0fa8-49f6-8602-3fe1e8d999fd.txt,modification,0.8,Caller inquires about a discrepancy in their reservation details.
transcript_chat-1ecbf359-a809-4e3d-b711-8359a4e9b260.txt,transfer,0.0,Caller did not specify a request.
transcript_chat-1fbef2da-0fa2-434d-b75f-4156ff0cb030.txt,booking,0.9,Caller wants to book a taxi ride.
transcript_chat-1fd12f55-84d1-48d6-b5bb-8ebb05a07b29.txt,transfer,1.0,Caller explicitly asked to be transferred.
transcript_chat-1fd5df52-4f39-483b-9837-b1a4f8aa3e82.txt,transfer,0.9,Caller explicitly asks to be connected to a live agent.
transcript_chat-1fda1484-ab99-457f-b622-c96d81f97384.txt,booking,1.0,Caller wants to book a trip.
transcript_chat-200f152f-bafb-4fce-94ed-5a4e2c549bcb.txt,booking,0.8,Caller initially inquired about transportation from one location to another.
transcript_chat-205e18eb-fe58-449e-8b7f-31076a2346f9.txt,booking,0.9,Caller wants to arrange transportation for their son.
transcript_chat-20add7e1-fd49-4cfc-a44b-7dea2983b132.txt,transfer,0.0,No clear request from the caller
transcript_chat-217a725e-6519-457a-b6cc-8312652d93cf.txt,booking,1.0,Caller wants to book a cab ride.
transcript_chat-21b25217-b31c-4e91-91f9-aa0edd268ffc.txt,modification,0.9,Caller wants to update an existing ride.
transcript_chat-21d653e2-a76f-414b-aa30-8ec6ded3d382.txt,transfer,0.8,Caller explicitly asks to speak to a person.
transcript_chat-22467ef5-6bd3-4028-9a8d-925506778032.txt,cancellation,0.9,Caller explicitly mentions they want to cancel.
transcript_chat-22634138-f551-4486-978d-5e4cf6deac62.txt,booking,0.8,Caller initiated the call but hasn't specified the request yet.
transcript_chat-22816c3d-8e71-4efe-96d8-e3a75eb24032.txt,transfer,0.8,Caller is being connected to a customer service representative.
transcript_chat-22cc599a-17ad-4b1d-904f-fe05609550d3.txt,booking,0.8,Caller inquires about a ride and agent offers to book one.
transcript_chat-22ec42df-9121-4ef9-9541-007cd076b8ab.txt,modification,0.8,Caller wants to update their existing ride due to being late.
transcript_chat-230d0cf5-220d-4912-9eb3-d63afc10109e.txt,transfer,1.0,Caller explicitly asks to speak to a human agent
transcript_chat-23274709-9805-4f51-97c0-a0c1bfd38382.txt,modification,0.8,Caller wants to confirm and possibly update the details of an existing pickup reservation.
transcript_chat-232affa1-3554-4f66-a8b1-d13f279d3742.txt,transfer,0.8,Caller is having an issue with their scheduled trip and the agent is transferring them to customer service.
transcript_chat-2339bca3-075f-4b95-a43f-a3e07fec1da3.txt,booking,0.8,Caller initially requests a ride from the hospital to their house.
transcript_chat-2351ad0a-66d3-429c-9103-f35c16e13fc9.txt,modification,0.9,Caller wants to change the pickup time to an earlier one
transcript_chat-23f35583-adad-4f19-bb96-e0a09d4e0ec9.txt,booking,1.0,Caller requests a cab ride from their home to the Exxon gas station.
transcript_chat-247c4634-ddc1-4b33-ae34-0072bc0eca13.txt,booking,0.9,Caller wants to activate a scheduled ride.
